FILE     : ETPOLUT1.DAT
STATUS   : 1997.03.16                                       
CONTENTS : Pole coordinates and earth rotation,                                  
           one day sampling interval, given at 0 hours UTC.             
                                                                                
           The pole coordinates, UT1-UTC and TAI-UT1 have been taken from 
           files EOPC04.xx (xx = year), transferred from IERS via INTERNET 
           to Karlsruhe at 19941108, 19950310, 19951011, 19960218, 19970305
           and transformed to current format using program IERS.FOR. 
                          
           Adress: 145.238.2.21
           login:  anonymous
           password: wenzel gik karlsruhe
           directory: cd iers cd old
                                                      
           Start: 19720101  MJD = 41317.000                                     
           End  : 19970228  MJD = 50507.000                                     

           Span :                  9190.000 days  = 25.16 years                  
                                                                                
Date     Time    MJD          x         y       UT1-UTC   TAI-UT1                                   
                             ["]       ["]      [SEC]     [SEC]                                   
C****************************************************************************** 
19720507 000000 41444.000  -0.17860   0.26290 -0.470520 10.470520
19720508 000000 41445.000  -0.17750   0.26530 -0.474388 10.474388
19720509 000000 41446.000  -0.17630   0.26770 -0.478451 10.478451
19720510 000000 41447.000  -0.17510   0.27010 -0.482611 10.482611
19720511 000000 41448.000  -0.17390   0.27240 -0.486716 10.486716
19720512 000000 41449.000  -0.17260   0.27470 -0.490646 10.490646
19720513 000000 41450.000  -0.17120   0.27700 -0.494337 10.494337
19720514 000000 41451.000  -0.16980   0.27930 -0.497771 10.497771
19720515 000000 41452.000  -0.16830   0.28150 -0.501040 10.501040
19720516 000000 41453.000  -0.16680   0.28370 -0.504263 10.504263
19720517 000000 41454.000  -0.16520   0.28590 -0.507558 10.507558
19720518 000000 41455.000  -0.16350   0.28810 -0.510965 10.510965
19720519 000000 41456.000  -0.16180   0.29020 -0.514504 10.514504
19720520 000000 41457.000  -0.16010   0.29230 -0.518152 10.518152
19720521 000000 41458.000  -0.15830   0.29440 -0.521840 10.521840
19720522 000000 41459.000  -0.15640   0.29650 -0.525517 10.525517
19720523 000000 41460.000  -0.15450   0.29860 -0.529106 10.529106
19720524 000000 41461.000  -0.15250   0.30070 -0.532565 10.532565
19720525 000000 41462.000  -0.15050   0.30280 -0.535850 10.535850
19720526 000000 41463.000  -0.14840   0.30480 -0.538949 10.538949
19720527 000000 41464.000  -0.14630   0.30690 -0.541868 10.541868
19720528 000000 41465.000  -0.14410   0.30890 -0.544635 10.544635
19720529 000000 41466.000  -0.14190   0.31090 -0.547287 10.547287
19720530 000000 41467.000  -0.13970   0.31300 -0.549899 10.549899
19720531 000000 41468.000  -0.13730   0.31500 -0.552552 10.552552
19720601 000000 41469.000  -0.13500   0.31700 -0.555294 10.555294
19720602 000000 41470.000  -0.13260   0.31900 -0.558199 10.558199
19720603 000000 41471.000  -0.13020   0.32110 -0.561302 10.561302
19720604 000000 41472.000  -0.12770   0.32310 -0.564594 10.564594
19720605 000000 41473.000  -0.12530   0.32510 -0.568045 10.568045
19720606 000000 41474.000  -0.12270   0.32710 -0.571564 10.571564
19720607 000000 41475.000  -0.12020   0.32910 -0.575046 10.575046
19720608 000000 41476.000  -0.11760   0.33110 -0.578374 10.578374
19720609 000000 41477.000  -0.11500   0.33310 -0.581450 10.581450
19720610 000000 41478.000  -0.11230   0.33500 -0.584272 10.584272
19720611 000000 41479.000  -0.10970   0.33700 -0.586872 10.586872
19720612 000000 41480.000  -0.10700   0.33900 -0.589381 10.589381
19720613 000000 41481.000  -0.10430   0.34100 -0.591906 10.591906
19720614 000000 41482.000  -0.10150   0.34290 -0.594554 10.594554
19720615 000000 41483.000  -0.09870   0.34490 -0.597362 10.597362
19720616 000000 41484.000  -0.09600   0.34680 -0.600307 10.600307
19720617 000000 41485.000  -0.09320   0.34870 -0.603308 10.603308
19720618 000000 41486.000  -0.09030   0.35060 -0.606322 10.606322
19720619 000000 41487.000  -0.08750   0.35260 -0.609261 10.609261
19720620 000000 41488.000  -0.08460   0.35440 -0.612083 10.612083
19720621 000000 41489.000  -0.08170   0.35630 -0.614758 10.614758
19720622 000000 41490.000  -0.07880   0.35820 -0.617247 10.617247
19720623 000000 41491.000  -0.07590   0.36000 -0.619559 10.619559
19720624 000000 41492.000  -0.07300   0.36190 -0.621726 10.621726
19720625 000000 41493.000  -0.07000   0.36370 -0.623794 10.623794
19720626 000000 41494.000  -0.06710   0.36550 -0.625826 10.625826
19720627 000000 41495.000  -0.06410   0.36730 -0.627904 10.627904
19720628 000000 41496.000  -0.06110   0.36900 -0.630100 10.630100
19720629 000000 41497.000  -0.05810   0.37080 -0.632473 10.632473
19720630 000000 41498.000  -0.05510   0.37250 -0.635060 10.635060
19720701 000000 41499.000  -0.05200   0.37420  0.362129 10.637871
19720702 000000 41500.000  -0.04900   0.37580  0.359134 10.640866
19720703 000000 41501.000  -0.04590   0.37750  0.356043 10.643957
19720704 000000 41502.000  -0.04290   0.37910  0.352960 10.647040
19720705 000000 41503.000  -0.03980   0.38070  0.349977 10.650023
19720706 000000 41504.000  -0.03670   0.38220  0.347197 10.652803
19720707 000000 41505.000  -0.03360   0.38370  0.344644 10.655356
19720708 000000 41506.000  -0.03050   0.38520  0.342308 10.657692
19720709 000000 41507.000  -0.02740   0.38660  0.340092 10.659908
